JQID,STATUS,AGENCY,LINE,NAME,Type,Year,LATITUDE,LONGITUDE,Pre 1970,ZIP,ZIP_NAME,STATE,POP2010
2524,Existing Transit,NJ TRANSIT RAIL,Hudson-Bergen Light Rail,WEST SIDE AVE HBLR STATION,c,,40.714548,-74.087581,,07305,Jersey City,NJ,59099
2713,Existing Transit,NMDOT,Albuquerque Rail Runner Express,Sandoval County/ Us 550,c,2006,35.3158,-106.538,0,87004,Bernalillo,NM,13796
2714,Existing Transit,NMDOT,Albuquerque Rail Runner Express,Santa Fe County/NM 599,c,2009,35.591453,-106.0616899,0,87508,Santa Fe,NM,18541
2715,Existing Transit,NMDOT,Albuquerque Rail Runner Express,Santa Fe Depot,c,2008,35.684309,-105.9466445,0,87501,Santa Fe,NM,16312
2716,Existing Transit,NMDOT,Albuquerque Rail Runner Express,South Capitol,c,2008,35.6732409,-105.9569845,0,87505,Santa Fe,NM,33003
2717,Existing Transit,NORTA,Canal Streetcar,Barrone St,t,2004,29.9543969,-90.07087428,,70112,New Orleans,LA,4888
2718,Existing Transit,NORTA,Canal Streetcar,Botinelli Place,t,2004,29.9799954,-90.10867464,,70119,New Orleans,LA,36823
2719,Existing Transit,NORTA,Canal Streetcar,Camp St,t,2004,29.9525011,-90.06804792,,70130,New Orleans,LA,15551
2720,Existing Transit,NORTA,Canal Streetcar,Canal and Broad,t,2004,29.9656805,-90.08749872,,70119,New Orleans,LA,36823
2873,Existing Transit,PAT,"Blue Line Library, Blue Line South Hills Village",Boggs,,2004,40.4162366,-80.01012325,,15210,Pittsburgh,PA,28217
2874,Existing Transit,PAT,"Blue Line Library, Blue Line South Hills Village",Memorial Hall,,1950,40.3662803,-80.01621723,,15234,Pittsburgh,PA,13991
2875,Existing Transit,PAT,"Blue Line Library, Blue Line South Hills Village",South Bank,,1977,40.3927012,-79.99822766,,15210,Pittsburgh,PA,28217
2876,Existing Transit,PAT,"Blue Line Library, Blue Line South Hills Village, Red Line - Beechview",First Avenue,,2001,40.4355,-79.9966,,15219,Pittsburgh,PA,18806
3016,Existing Transit,RT,Folsom - Amtrak(Gold),59TH ST AND Q ST,,1987,38.554607,-121.43524,,95817,Sacramento,CA,15671
3017,Existing Transit,RT,Folsom - Amtrak(Gold),7TH ST AND I ST,,2007,38.582585,-121.496864,,95814,Sacramento,CA,10367
3018,Existing Transit,RT,Folsom - Amtrak(Gold),8TH ST AND K ST,,2006,38.580371,-121.496515,,95814,Sacramento,CA,10367
3019,Existing Transit,RT,Folsom - Amtrak(Gold),FOLSOM BLVD AND BUTTERFIELD,,1987,38.567361,-121.346062,,95827,Sacramento,CA,20660
3097,Existing Transit,RTD,"Light Rail C Line(101), Light Rail D Line(101)",Littleton / Mineral Ave Station,,2000,39.5802,-105.02495,,80120,Littleton,CO,29297
3098,Existing Transit,RTD,"Light Rail C Line(101), Light Rail E Line(101)",Invesco Field at Mile High Station,,2002,39.74316,-105.01429,,80204,Denver,CO,35964
3099,Existing Transit,RTD,Light Rail D Line(101),20th & Welton Station,,1994,39.7481,-104.98676,,80202,Denver,CO,7793
3100,Existing Transit,RTD,Light Rail D Line(101),25th and Welton Station,,1994,39.75321,-104.97996,,80205,Denver,CO,33224
3194,Existing Transit,San Francisco Municipal Transportation Agency,INGLESIDE/THIRD(KT),Third Street/Oakdale/Palou,,1950,37.73435,-122.390859,,94124,San Francisco,CA,34541
3195,Existing Transit,San Francisco Municipal Transportation Agency,INGLESIDE/THIRD(KT),Third Street/Revere/Shafter,,1950,37.73228,-122.391536,,94124,San Francisco,CA,34541
3196,Existing Transit,San Francisco Municipal Transportation Agency,INGLESIDE/THIRD(KT),Third Street & Williams Ave,,1950,37.729291,-122.392604,,94124,San Francisco,CA,34541
3197,Existing Transit,San Francisco Municipal Transportation Agency,INGLESIDE/THIRD(KT),UCSF/Mission Bay,,1950,37.76854,-122.389274,,94158,San Francisco,CA,2715
3563,Existing Transit,SEPTA,Darby To Center City     (11),Woodland Av & 70th St,t,1950,39.920697,-75.241409,1,19142,Philadelphia,PA,27862
3564,Existing Transit,SEPTA,Darby To Center City     (11),Woodland Av & 71st St,t,1950,39.919584,-75.24297,1,19142,Philadelphia,PA,27862
3565,Existing Transit,SEPTA,Darby To Center City     (11),Woodland Av & 72nd St,t,1950,39.918432,-75.244412,1,19142,Philadelphia,PA,27862
3566,Existing Transit,SEPTA,Darby To Center City     (11),Woodland Av & Island Av,t,1950,39.917162,-75.246387,1,19142,Philadelphia,PA,27862
4085,Existing Transit,TriMet,Portland Streetcar,NW 10th & Marshall,t,2001,45.530707,-122.68132,,97209,Portland,OR,12205
4086,Existing Transit,TriMet,Portland Streetcar,NW 11th & Couch,t,2001,45.523784,-122.682223,,97209,Portland,OR,12205
4087,Existing Transit,TriMet,Portland Streetcar,NW 11th & Everett,t,2001,45.525179,-122.682246,,97209,Portland,OR,12205
4088,Existing Transit,TriMet,Portland Streetcar,NW 11th & Glisan,t,2001,45.526605,-122.682297,,97209,Portland,OR,12205
4166,Existing Transit,UTA,Mid Jordan/University Line (Red Line),Trolley Square Station,,2001,40.7606,-111.873,0,84102,Salt Lake City,UT,17515
4167,Existing Transit,UTA,Mid Jordan/University Line (Red Line),University Medical Center,,2003,40.7694979,-111.8387121,0,84112,Salt Lake City,UT,1418
4168,Existing Transit,UTA,Mid Jordan/University Line (Red Line),University South Campus,,2003,40.7604029,-111.8393612,0,84112,Salt Lake City,UT,1418
4169,Existing Transit,UTA,Mid Jordan/University Line (Red Line),West Jordan City Center,,2011,40.6050195,-111.9360709,0,84088,West Jordan,UT,36532
4246,Existing Transit,VTA,ALUM ROCK-SANTA TERESA VIA BAYPOINT(901),BERRYESSA STATION,,2004,37.387386,-121.8614771,,95132,San Jose,CA,42390
4247,Existing Transit,VTA,ALUM ROCK-SANTA TERESA VIA BAYPOINT(901),BLOSSOM HILL STATION,,1987,37.252767,-121.8410246,,95123,San Jose,CA,63113
4248,Existing Transit,VTA,ALUM ROCK-SANTA TERESA VIA BAYPOINT(901),BRANHAM STATION,,1987,37.2672956,-121.8593814,,95136,San Jose,CA,41846
4249,Existing Transit,VTA,ALUM ROCK-SANTA TERESA VIA BAYPOINT(901),CAPITOL STATION,,1987,37.275293,-121.8632686,,95136,San Jose,CA,41846
